"Fall 2023 B.E.S.T. End-of-Course Assessments
Algebra 1
School Results - All Grades",,,,,,,,,,,
,"Notes: : (1) To provide meaningful results and protect the privacy of individual students, data are not reported when the total number of students in a group is less than 10 or when all students in a group are in the same category (i.e., all in the same Achievement Level). An asterisk (*) appears when data are suppressed. (2) Percentages may not add to 100 due to rounding. (3) Data are included for first-time testers only.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Percentage in Each Achievement Level,,,,
District Number,District Name,School Number,School Name,Number of Students ,Mean Scale Score,"Percentage in
Level 3 or Above",1,2,3,4,5
00,STATE TOTALS,0000,B.E.S.T. ALGEBRA 1 EOC STATE TOTALS,"16,093",383,30,41,30,18,8,3
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,2,*,*,*,*,*,*,*
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,24,386,38,29,33,25,8,4
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,1,*,*,*,*,*,*,*
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,6,*,*,*,*,*,*,*
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,14,393,43,21,36,21,21,0
01,ALACHUA,0400,ADULT EDUCATION PROGRAM,2,*,*,*,*,*,*,*
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,28,396,54,25,21,39,11,4
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,36,396,44,19,36,25,17,3
01,ALACHUA,0961,MICANOPY ACADEMY,4,*,*,*,*,*,*,*
01,ALACHUA,0991,"SIATECH MYCROSCHOOL, INC.",2,*,*,*,*,*,*,*
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),8,*,*,*,*,*,*,*
01,ALACHUA,9924,SANTA FE COLLEGE ACADEMY OF SCIENCE AND TECHN,5,*,*,*,*,*,*,*
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,5,*,*,*,*,*,*,*
03,BAY,0061,BAY HIGH SCHOOL,35,384,23,37,40,17,6,0
03,BAY,0341,RUTHERFORD HIGH SCHOOL,6,*,*,*,*,*,*,*
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,38,384,32,45,24,13,13,5
03,BAY,0541,DEANE BOZEMAN SCHOOL,7,*,*,*,*,*,*,*
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,37,388,22,30,49,8,11,3
03,BAY,0581,ROSENWALD HIGH SCHOOL,75,357,4,77,19,4,0,0
03,BAY,0741,NORTH BAY HAVEN CAREER ACADEMY,7,*,*,*,*,*,*,*
03,BAY,0782,CENTRAL HIGH SCHOOL,16,385,31,50,19,19,6,6
04,BRADFORD,0021,BRADFORD HIGH SCHOOL,18,396,39,22,39,17,17,6
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,18,380,22,33,44,17,6,0
05,BREVARD,0161,ASTRONAUT HIGH SCHOOL,24,370,8,58,33,8,0,0
05,BREVARD,0302,SPACE COAST JR/SR HIGH SCHOOL,8,*,*,*,*,*,*,*
05,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL,28,382,25,39,36,11,14,0
05,BREVARD,1012,BREVARD ADULT EDUCATION AT COCOA,6,*,*,*,*,*,*,*
