"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
01,ALACHUA,0022,EARLY LEARNING ACADEMY AT DUVAL,117,108,92.3%
01,ALACHUA,0031,CAROLYN BEATRICE PARKER ELEMENTARY,501,468,93.4%
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,403,384,95.3%
01,ALACHUA,0052,A.QUINN JONES CENTER,95,56,58.9%
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,268,238,88.8%
01,ALACHUA,0081,SIDNEY LANIER CENTER,139,121,87.1%
01,ALACHUA,0082,HOSPITAL HOMEBOUND,29,23,79.3%
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,714,668,93.6%
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,463,434,93.7%
01,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,398,378,95.0%
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,613,570,93.0%
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,824,778,94.4%
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,854,815,95.4%
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,"1,825","1,730",94.8%
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,323,295,91.3%
01,ALACHUA,0171,ARCHER ELEMENTARY,413,398,96.4%
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,472,423,89.6%
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,385,366,95.1%
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,791,753,95.2%
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,"1,132","1,078",95.2%
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHOOL,282,254,90.1%
01,ALACHUA,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,672,611,90.9%
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,627,573,91.4%
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,429,407,94.9%
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,312,295,94.6%
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,328,314,95.7%
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,"1,291","1,202",93.1%
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,"2,416","2,316",95.9%
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,902,886,98.2%
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,840,783,93.2%
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,694,663,95.5%
01,ALACHUA,0501,KIMBALL WILES ELEMENTARY SCHOOL,741,720,97.2%
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,"1,014",969,95.6%
01,ALACHUA,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,692,660,95.4%
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,791,763,96.5%
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,651,628,96.5%
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,540,511,94.6%
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,573,559,97.6%
01,ALACHUA,0571,W. W. IRBY ELEMENTARY SCHOOL,372,353,94.9%
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,962,938,97.5%
01,ALACHUA,0604,PACE,51,43,84.3%
01,ALACHUA,0922,SANTA FE COLLEGE ACADEMY OF SCIENCE AND TECHNOLOGY,133,128,96.2%
01,ALACHUA,0925,CONSTELLATION CHARTER SCHOOL OF GAINESVILLE,98,88,89.8%
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,176,171,97.2%
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",212,208,98.1%
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,369,356,96.5%
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",97,93,95.9%
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACADEMY,84,81,96.4%
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,108,106,98.1%
01,ALACHUA,0961,MICANOPY ACADEMY,67,56,83.6%
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,107,103,96.3%
01,ALACHUA,0991,"SIATECH MYCROSCHOOL, INC.",97,75,77.3%
01,ALACHUA,1003,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,169,157,92.9%
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,63,63,100.0%
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,171,164,95.9%
01,ALACHUA,1013,RESILIENCE CHARTER SCHOOL INC,107,87,81.3%
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),178,133,74.7%
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),29,22,75.9%
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,"1,318","1,253",95.1%
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,550,532,96.7%
02,BAKER,0021,LEGACY ELEMENTARY SCHOOL,650,630,96.9%
02,BAKER,0022,PREK/KINDERGARTEN CENTER,562,542,96.4%
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,"1,067","1,025",96.1%
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,616,592,96.1%
03,BAY,0061,BAY HIGH SCHOOL,"1,289","1,207",93.6%
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,634,581,91.6%
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,573,521,90.9%
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,495,441,89.1%
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,622,566,91.0%
03,BAY,0111,MERRIAM CHERRY STREET ELEMENTARY,343,316,92.1%
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHOOL,543,487,89.7%
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,684,641,93.7%
03,BAY,0161,JINKS MIDDLE SCHOOL,541,485,89.6%
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,688,660,95.9%
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,755,701,92.8%
03,BAY,0211,PARKER ELEMENTARY SCHOOL,510,465,91.2%
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,531,513,96.6%
03,BAY,0241,ST. ANDREW SCHOOL AT OAKLAND TERRACE,55,51,92.7%
03,BAY,0251,WALLER ELEMENTARY SCHOOL,423,398,94.1%
